erd;proposal;vote;power
erd1u3xcdnkjmsdkxa3x2nycjlhzylnhk5q9a0mlp64pl4nhnhdcflxqlka3jp;01;yes;62735447
erd1l44afq0af5quzhrqeh2kw5svcq2g3nrz7r2kvy7j49rcgc06qkqsk7xs97;01;yes;6978587
erd1m05u2fp9hpadu94kd92zt5gqe2g8tutzgjncgsrx4uqd7nlhdrtq4tt9an;01;yes;11730610
erd1grqld0arpld2evjxsk6kjeglf8kvk5frz45vz0lhngrflphnnqrspjpy8r;01;yes;41099558
erd1nwv7lf0cssz4mnjgasl5j90wa438d5ufxv2htzddzvs20taj8pls6auwgw;01;yes;4616227
erd1tyre2a2qrmvunfkcw6wjxyrjtke48jagdtcmcd6s9453zzw39n8qu42822;01;yes;641182
erd10tgfegyph28t0exwr7ffjnck7qljtry82u2z993q9320l5padvgqdmyfka;01;yes;77875749
erd1wuen0jtxeyawp5u4agt7wzkqqpnn6p8ef695hj25szwngzv3se4s67af8d;01;yes;768613159
erd162xsr0z4ugtwwzgwt8nxs95xw2ld77fv3m02dpwx6cvyhujkzc9qgkh6kz;01;yes;6780495
erd15dlxlcpw9l236gh7vekl3z7lvyjn5mt8rluhy92keug4q4np20fql7jc97;01;yes;35740872
erd16mhg6wsr444clx3qu4ueczcqhshc7d5qprgee42csgzgx52wpthq2l5ajm;01;yes;2384614
erd1pm5fn48xckwmn4r8jxjh0n6kdltrc5v54nds234aqatczsqughnst8f3g6;01;yes;2345636
erd1advjt988u7pm5ltsh5jeudewfydh52xcn0u5ft3jzwm3ltum0q0qargnj3;01;yes;57472394
erd1unaphlwzjt62t46xs8muuw3vd7aml54ks4lq4xruvgg8kez9ra7qajeyt2;01;yes;489433563
erd10jxaq09cefc5vryjdxhfgyv256q0p4mke6twh6z0fmt3w02awkqq8akzhr;01;yes;4254303
erd1d7y9v6t2vf5469xsjlx4uxg0zduqvag36qzpjfzqhaysdwnzxfzs0j6vam;01;yes;5978375
